,numOfTraders,minNumOfUnitsPerTrader,maxNumOfUnitsPerTrader,maxNoiseSize,Total buyers,Total sellers,Total traders,Min total traders,Total units,Max units per trader,Min units per trader,Normalized max units per trader,stddev,Optimal buyers,Optimal sellers,Optimal units,Optimal gain,MUDA-lottery gain,MUDA-Vickrey traders gain,MUDA-Vickrey total gain
384,10000000,100,100000,250,100,100,200,100,20000000,100000,100000,1,1414213.562,50063,50063,5006300,1250972499,1210699972,1178875442,1249166959
385,12000000,100,100000,250,120,120,240,120,24000000,100000,100000,1,1549193.338,60157,60157,6015700,1503515991,1455959969,1412596632,1501310375
386,14000000,100,100000,250,140,140,280,140,28000000,100000,100000,1,1673320.053,69936,69936,6993600,1746900889,1302019963,990772949.3,1613993582
387,16000000,100,100000,250,160,160,320,160,32000000,100000,100000,1,1788854.382,79902,79902,7990200,2000525109,1900255715,1813650784,1994075105
388,18000000,100,100000,250,180,180,360,180,36000000,100000,100000,1,1897366.596,89668,89668,8966800,2247607553,2084790094,1947092135,2233382643
389,20000000,100,100000,250,200,200,400,200,40000000,100000,100000,1,2000000,100270,100270,10027000,2503152461,2444069181,2394125539,2501273996
390,22000000,100,100000,250,220,220,440,220,44000000,100000,100000,1,2097617.696,109822,109822,10982200,2746554326,2543543845,2367236065,2728111018
391,24000000,100,100000,250,240,240,480,240,48000000,100000,100000,1,2190890.23,120364,120364,12036400,3012901726,2688754354,2416573816,2970413040
392,26000000,100,100000,250,260,260,520,260,52000000,100000,100000,1,2280350.85,130061,130061,13006100,3251235713,2944020859,2672937012,3215237334
393,28000000,100,100000,250,280,280,560,280,56000000,100000,100000,1,2366431.913,139869,139869,13986900,3499422372,3171110876,2886040813,3461463496
394,30000000,100,100000,250,300,300,600,300,60000000,100000,100000,1,2449489.743,149907,149907,14990700,3754135476,3753526568,3753652991,3754133514
395,32000000,100,100000,250,320,320,640,320,64000000,100000,100000,1,2529822.128,159981,159981,15998100,3995818555,3980924042,3973631122,3995724932
396,34000000,100,100000,250,340,340,680,340,68000000,100000,100000,1,2607680.962,170272,170272,17027200,4260075491,4084508201,3923341664,4250946686
397,36000000,100,100000,250,360,360,720,360,72000000,100000,100000,1,2683281.573,179818,179818,17981800,4499013651,4496676802,4497005276,4499006593
398,38000000,100,100000,250,380,380,760,380,76000000,100000,100000,1,2756809.75,190293,190293,19029300,4761709230,4462503045,4184951406,4737777539
399,40000000,100,100000,250,400,400,800,400,80000000,100000,100000,1,2828427.125,199984,199984,19998400,4994391239,4878411401,4775987066,4990984696
